T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss.ccccc
315.0152 0.0 0.0 315.0 0.0 0.0 60.55 70.7488 30.1612 1 2024-01-11 05:44:43
315.0094 0.0 0.0 315.0 0.0 0.0 60.551 70.7498 30.1606 164 2024-01-11 05:44:00
310.0036 0.0 0.0 310.0 0.0 0.0 61.434 71.828 30.4212 163 2024-01-11 05:36:34
309.9972 0.0 0.0 310.0 0.0 0.0 61.4352 71.8218 30.4218 2 2024-01-11 05:52:16
305.0092 0.0 0.0 305.0 0.0 0.0 62.35 72.9462 30.69 162 2024-01-11 05:29:14
304.971 0.0 0.0 305.0 0.0 0.0 62.357 72.944 30.6914 3 2024-01-11 05:58:38
300.0156 0.0 0.0 300.0 0.0 0.0 63.2808 74.0684 30.9604 4 2024-01-11 06:04:33
300.013 0.0 0.0 300.0 0.0 0.0 63.281 74.0846 30.9614 161 2024-01-11 05:21:53
295.0104 0.0 0.0 295.0 0.0 0.0 64.264 75.2892 31.2466 160 2024-01-11 05:14:16
295.0046 0.0 0.0 295.0 0.0 0.0 64.265 75.2718 31.2466 5 2024-01-11 06:10:31
290.0032 0.0 0.0 290.0 0.0 0.0 65.2646 76.4918 31.5348 6 2024-01-11 06:16:33
289.9842 0.0 0.0 290.0 0.0 0.0 65.2686 76.5224 31.537 159 2024-01-11 05:06:49
285.0032 0.0 0.0 285.0 0.0 0.0 66.321 77.7846 31.8384 7 2024-01-11 06:22:35
284.9886 0.0 0.0 285.0 0.0 0.0 66.324 77.8162 31.841 158 2024-01-11 05:01:19
280.0034 0.0 0.0 280.0 0.0 0.0 67.395 79.1012 32.1462 8 2024-01-11 06:28:41
279.9874 0.0 0.0 280.0 0.0 0.0 67.399 79.1354 32.148 157 2024-01-11 04:55:47
274.9966 0.0 0.0 275.0 0.0 0.0 68.532 80.4966 32.469 9 2024-01-11 06:34:46
274.9914 0.0 0.0 275.0 0.0 0.0 68.533 80.533 32.47 156 2024-01-11 04:50:15
269.9998 0.0 0.0 270.0 0.0 0.0 69.687 81.9152 32.796 10 2024-01-11 06:40:54
269.9958 0.0 0.0 270.0 0.0 0.0 69.688 81.9562 32.7974 155 2024-01-11 04:44:41
264.9998 0.0 0.0 265.0 0.0 0.0 70.913 83.4244 33.1402 11 2024-01-11 06:47:04
264.9968 0.0 0.0 265.0 0.0 0.0 70.914 83.4686 33.142 154 2024-01-11 04:39:05
259.9932 0.0 0.0 260.0 0.0 0.0 72.164 85.0084 33.491 153 2024-01-11 04:33:28
259.989 0.0 0.0 260.0 0.0 0.0 72.165 84.9658 33.4906 12 2024-01-11 06:53:20
254.9982 0.0 0.0 255.0 0.0 0.0 73.487 86.5962 33.857 13 2024-01-11 06:59:36
254.994 0.0 0.0 255.0 0.0 0.0 73.488 86.644 33.8582 152 2024-01-11 04:27:50
249.994 0.0 0.0 250.0 0.0 0.0 74.8386 88.3122 34.231 151 2024-01-11 04:22:10
249.987 0.0 0.0 250.0 0.0 0.0 74.8406 88.2692 34.2304 14 2024-01-11 07:05:59
245.0018 0.0 0.0 245.0 0.0 0.0 76.272 90.0896 34.6242 150 2024-01-11 04:16:29
244.986 0.0 0.0 245.0 0.0 0.0 76.2768 90.0476 34.6236 15 2024-01-11 07:12:21
239.995 0.0 0.0 240.0 0.0 0.0 77.739 91.9082 35.0228 149 2024-01-11 04:10:46
239.989 0.0 0.0 240.0 0.0 0.0 77.7408 91.8598 35.0218 16 2024-01-11 07:18:49
234.9948 0.0 0.0 235.0 0.0 0.0 79.297 93.7928 35.442 17 2024-01-11 07:25:13
234.9862 0.0 0.0 235.0 0.0 0.0 79.3 93.8486 35.444 148 2024-01-11 04:05:03
229.9962 0.0 0.0 230.0 0.0 0.0 80.8876 95.818 35.8684 147 2024-01-11 03:59:21
229.9902 0.0 0.0 230.0 0.0 0.0 80.89 95.7728 35.8688 18 2024-01-11 07:31:46
