T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss.ccccc
16.11058000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 747.0800000000 1120.1620000000 119.8652000000 1 2024-01-10 18:43:02
16.02680000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 750.0640000000 1125.4520000000 120.0864000000 2 2024-01-10 18:43:05
15.94054000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 753.1940000000 1131.1520000000 120.3260000000 3 2024-01-10 18:43:08
15.85310000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 756.3180000000 1136.6920000000 120.5592000000 4 2024-01-10 18:43:11
15.76132000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 759.6540000000 1142.8080000000 120.8102000000 5 2024-01-10 18:43:15
15.66192000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 763.2880000000 1149.3280000000 121.0836000000 6 2024-01-10 18:43:18
15.56562000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 766.8200000000 1155.6720000000 121.3410000000 7 2024-01-10 18:43:21
15.46444000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 770.5500000000 1162.5620000000 121.6282000000 8 2024-01-10 18:43:24
15.34560000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 775.0080000000 1170.7460000000 121.9602000000 9 2024-01-10 18:43:28
15.22830000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 779.4780000000 1178.8340000000 122.2886000000 10 2024-01-10 18:43:31
15.12000000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 783.7960000000 1186.4760000000 122.6022000000 11 2024-01-10 18:43:34
15.01240000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 788.1360000000 1194.3180000000 122.9150000000 12 2024-01-10 18:43:38
14.90572000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 792.5220000000 1202.2460000000 123.2374000000 13 2024-01-10 18:43:41
14.79108000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 797.1200000000 1210.7320000000 123.5748000000 14 2024-01-10 18:43:44
14.67766000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 801.8300000000 1219.1140000000 123.9106000000 15 2024-01-10 18:43:47
14.56926000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 806.3040000000 1227.3060000000 124.2354000000 16 2024-01-10 18:43:51
14.45780000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 810.9340000000 1235.6400000000 124.5630000000 17 2024-01-10 18:43:54
14.35122000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 815.4120000000 1243.7860000000 124.8842000000 18 2024-01-10 18:43:57
14.24304000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 820.0840000000 1252.3020000000 125.2194000000 19 2024-01-10 18:44:01
14.14632000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 824.4980000000 1260.1820000000 125.5276000000 20 2024-01-10 18:44:04
14.04920000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 828.9560000000 1268.3380000000 125.8418000000 21 2024-01-10 18:44:07
13.95138000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 833.4700000000 1276.5800000000 126.1598000000 22 2024-01-10 18:44:10
13.86116000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 837.6260000000 1283.9900000000 126.4474000000 23 2024-01-10 18:44:14
13.77322000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 841.7560000000 1291.7300000000 126.7426000000 24 2024-01-10 18:44:17
13.67882000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 846.1480000000 1299.6400000000 127.0480000000 25 2024-01-10 18:44:20
13.58840000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 850.4380000000 1307.6540000000 127.3510000000 26 2024-01-10 18:44:24
13.49732000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 854.6960000000 1315.3740000000 127.6430000000 27 2024-01-10 18:44:27
13.40880000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 858.9360000000 1323.2360000000 127.9400000000 28 2024-01-10 18:44:30
13.30094000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 864.1200000000 1333.0880000000 128.3146000000 29 2024-01-10 18:44:34
13.20998000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 868.8980000000 1341.4180000000 128.6232000000 30 2024-01-10 18:44:37
13.12722000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 873.2340000000 1349.6720000000 128.9300000000 31 2024-01-10 18:44:40
13.02584000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 878.6320000000 1359.8320000000 129.3076000000 32 2024-01-10 18:44:44
12.93716000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 883.3140000000 1367.9620000000 129.6110000000 33 2024-01-10 18:44:47
12.86474000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 887.1640000000 1375.0500000000 129.8708000000 34 2024-01-10 18:44:50
12.78928000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 891.2680000000 1382.6440000000 130.1502000000 35 2024-01-10 18:44:53
12.71058000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 895.5180000000 1390.6760000000 130.4424000000 36 2024-01-10 18:44:57
12.63424000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 899.6300000000 1398.1660000000 130.7174000000 37 2024-01-10 18:45:00
12.55766000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 903.8320000000 1405.9640000000 131.0010000000 38 2024-01-10 18:45:03
12.47804000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 908.1940000000 1414.0400000000 131.2922000000 39 2024-01-10 18:45:07
12.40322000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 912.2760000000 1421.4300000000 131.5600000000 40 2024-01-10 18:45:10
12.33266000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 916.2000000000 1428.7660000000 131.8240000000 41 2024-01-10 18:45:13
12.26516000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 920.1660000000 1436.2140000000 132.0898000000 42 2024-01-10 18:45:16
12.19560000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 924.4640000000 1444.3900000000 132.3824000000 43 2024-01-10 18:45:20
12.12512000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 928.7740000000 1452.2680000000 132.6624000000 44 2024-01-10 18:45:23
12.05410000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 933.1680000000 1460.6000000000 132.9578000000 45 2024-01-10 18:45:26
11.98506000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 937.5080000000 1468.5540000000 133.2410000000 46 2024-01-10 18:45:30
11.91656000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 941.7880000000 1476.5620000000 133.5218000000 47 2024-01-10 18:45:33
11.85244000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 945.7560000000 1483.8660000000 133.7822000000 48 2024-01-10 18:45:36
11.79260000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 949.5500000000 1490.8300000000 134.0232000000 49 2024-01-10 18:45:39
11.72994000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 953.4660000000 1498.2480000000 134.2826000000 50 2024-01-10 18:45:43
11.66930000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 957.3640000000 1505.5920000000 134.5360000000 51 2024-01-10 18:45:46
11.60864000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 961.2320000000 1512.6920000000 134.7842000000 52 2024-01-10 18:45:49
11.55516000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 964.6320000000 1518.9660000000 135.0010000000 53 2024-01-10 18:45:53
11.49942000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 968.1900000000 1525.7740000000 135.2366000000 54 2024-01-10 18:45:56
11.44410000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 971.7760000000 1532.4780000000 135.4650000000 55 2024-01-10 18:45:59
11.38446000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 975.6640000000 1539.8860000000 135.7222000000 56 2024-01-10 18:46:02
11.32350000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 979.6240000000 1547.4620000000 135.9812000000 57 2024-01-10 18:46:06
11.26426000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 983.7160000000 1555.2500000000 136.2452000000 58 2024-01-10 18:46:09
11.20604000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 987.9660000000 1563.3140000000 136.5198000000 59 2024-01-10 18:46:12
11.14164000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 992.7440000000 1572.4100000000 136.8278000000 60 2024-01-10 18:46:16
11.08240000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 997.1020000000 1580.4040000000 137.0978000000 61 2024-01-10 18:46:19
11.02862000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1001.0260000000 1587.6260000000 137.3430000000 62 2024-01-10 18:46:22
10.98458000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1004.2740000000 1593.5500000000 137.5394000000 63 2024-01-10 18:46:25
10.94368000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1007.3200000000 1599.3960000000 137.7370000000 64 2024-01-10 18:46:29
10.89456000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1010.9880000000 1606.5100000000 137.9744000000 65 2024-01-10 18:46:32
10.84952000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1014.4080000000 1612.6220000000 138.1788000000 66 2024-01-10 18:46:35
10.80554000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1017.7000000000 1619.0680000000 138.3924000000 67 2024-01-10 18:46:39
10.76166000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1021.0280000000 1625.2980000000 138.6008000000 68 2024-01-10 18:46:42
10.71738000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1024.4040000000 1631.6220000000 138.8110000000 69 2024-01-10 18:46:45
10.67302000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1027.7540000000 1638.1040000000 139.0234000000 70 2024-01-10 18:46:48
10.62906000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1031.0640000000 1644.3280000000 139.2288000000 71 2024-01-10 18:46:52
10.58872000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1034.1660000000 1650.0780000000 139.4172000000 72 2024-01-10 18:46:55
10.54870000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1037.2140000000 1655.9420000000 139.6120000000 73 2024-01-10 18:46:58
10.50684000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1040.4820000000 1662.3880000000 139.8192000000 74 2024-01-10 18:47:02
10.45550000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1044.4240000000 1669.9520000000 140.0664000000 75 2024-01-10 18:47:05
10.41054000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1047.9260000000 1676.3720000000 140.2764000000 76 2024-01-10 18:47:08
10.36752000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1051.2900000000 1682.7460000000 140.4830000000 77 2024-01-10 18:47:11
10.32552000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1054.5600000000 1688.9980000000 140.6848000000 78 2024-01-10 18:47:15
10.28312000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1057.8580000000 1695.2600000000 140.8882000000 79 2024-01-10 18:47:18
10.24100000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1061.4760000000 1702.3520000000 141.1180000000 80 2024-01-10 18:47:21
10.20292000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1064.8640000000 1708.5900000000 141.3174000000 81 2024-01-10 18:47:25
10.16684000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1068.0820000000 1714.6440000000 141.5138000000 82 2024-01-10 18:47:28
10.13416000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1071.0120000000 1720.1620000000 141.6894000000 83 2024-01-10 18:47:31
10.10146000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1073.9360000000 1725.9040000000 141.8732000000 84 2024-01-10 18:47:34
10.06378000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1077.3520000000 1732.5300000000 142.0864000000 85 2024-01-10 18:47:38
10.02640000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1080.7540000000 1739.1200000000 142.2932000000 86 2024-01-10 18:47:41
9.98486000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1084.4860000000 1746.5580000000 142.5282000000 87 2024-01-10 18:47:44
9.93810000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1088.8020000000 1754.9680000000 142.7946000000 88 2024-01-10 18:47:47
9.89114000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1093.0500000000 1762.8040000000 143.0390000000 89 2024-01-10 18:47:51
9.86194000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1095.7020000000 1767.3340000000 143.1820000000 90 2024-01-10 18:47:54
9.83692000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1098.0320000000 1771.8780000000 143.3246000000 91 2024-01-10 18:47:57
9.80934000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1100.5600000000 1776.8620000000 143.4836000000 92 2024-01-10 18:48:01
9.77732000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1103.5000000000 1782.4700000000 143.6586000000 93 2024-01-10 18:48:04
9.74908000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1106.1160000000 1787.2580000000 143.8088000000 94 2024-01-10 18:48:07
9.72356000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1108.4660000000 1791.8640000000 143.9532000000 95 2024-01-10 18:48:11
9.69694000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1110.9720000000 1796.5740000000 144.1004000000 96 2024-01-10 18:48:14
9.66990000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1113.4760000000 1801.4740000000 144.2528000000 97 2024-01-10 18:48:17
9.64106000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1116.1580000000 1806.8020000000 144.4186000000 98 2024-01-10 18:48:20
9.61134000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1118.9660000000 1811.9700000000 144.5790000000 99 2024-01-10 18:48:24
9.58660000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1121.2760000000 1816.2380000000 144.7120000000 100 2024-01-10 18:48:27
9.56366000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1123.4200000000 1820.5280000000 144.8432000000 101 2024-01-10 18:48:30
9.53602000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1126.0600000000 1825.8700000000 145.0106000000 102 2024-01-10 18:48:34
9.50392000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1129.0780000000 1831.7300000000 145.1900000000 103 2024-01-10 18:48:37
9.47256000 0.00000000 0.00000000 2.00000000 0.00000000 0.00000000 1132.0480000000 1837.3020000000 145.3646000000 104 2024-01-10 18:48:40
