T_B[K] T_C[K] T_D[K] Setpoint_B[K] Setpoint_C[K] Setpoint_D[K] Sensor_B[Ohm] Sensor_C[Ohm] Sensor_D[Ohm] CNT yyyy-mm-dd hh:mm:ss
4.01882000 0.00000000 0.00000000 4.00000000 0.00000000 0.00000000 2574.2100000000 4815.8600000000 210.0260000000 1 2024-01-10 20:06:56
4.08100000 0.00000000 0.00000000 4.10000000 0.00000000 0.00000000 2530.4120000000 4721.4000000000 208.4794000000 2 2024-01-10 20:08:37
4.18540000 0.00000000 0.00000000 4.20000000 0.00000000 0.00000000 2458.5440000000 4566.7600000000 205.9048000000 3 2024-01-10 20:09:52
4.28798000 0.00000000 0.00000000 4.30000000 0.00000000 0.00000000 2395.3280000000 4430.9200000000 203.5958000000 4 2024-01-10 20:10:52
4.39314000 0.00000000 0.00000000 4.40000000 0.00000000 0.00000000 2334.1400000000 4299.8600000000 201.3230000000 5 2024-01-10 20:11:51
4.49164000 0.00000000 0.00000000 4.50000000 0.00000000 0.00000000 2278.2520000000 4180.6200000000 199.2070000000 6 2024-01-10 20:12:44
4.59350000 0.00000000 0.00000000 4.60000000 0.00000000 0.00000000 2221.8520000000 4060.5600000000 197.0398000000 7 2024-01-10 20:13:35
4.69428000 0.00000000 0.00000000 4.70000000 0.00000000 0.00000000 2168.1660000000 3946.4800000000 194.9382000000 8 2024-01-10 20:14:27
4.79582000 0.00000000 0.00000000 4.80000000 0.00000000 0.00000000 2121.6620000000 3850.0000000000 193.1246000000 9 2024-01-10 20:15:17
4.89648000 0.00000000 0.00000000 4.90000000 0.00000000 0.00000000 2076.4860000000 3752.7400000000 191.2682000000 10 2024-01-10 20:16:07
4.99836000 0.00000000 0.00000000 5.00000000 0.00000000 0.00000000 2031.7720000000 3658.7000000000 189.4398000000 11 2024-01-10 20:16:56
5.49544000 0.00000000 0.00000000 5.50000000 0.00000000 0.00000000 1846.2240000000 3272.3600000000 181.5686000000 12 2024-01-10 20:18:26
5.99984000 0.00000000 0.00000000 6.00000000 0.00000000 0.00000000 1697.3640000000 2965.4000000000 174.8592000000 13 2024-01-10 20:19:49
6.49692000 0.00000000 0.00000000 6.50000000 0.00000000 0.00000000 1573.5520000000 2712.6800000000 168.9798000000 14 2024-01-10 20:21:11
6.99698000 0.00000000 0.00000000 7.00000000 0.00000000 0.00000000 1470.0100000000 2504.9200000000 163.8682000000 15 2024-01-10 20:22:27
7.50174000 0.00000000 0.00000000 7.50000000 0.00000000 0.00000000 1382.7800000000 2329.0300000000 159.3480000000 16 2024-01-10 20:23:42
7.99614000 0.00000000 0.00000000 8.00000000 0.00000000 0.00000000 1306.6080000000 2178.2700000000 155.2740000000 17 2024-01-10 20:24:51
8.50218000 0.00000000 0.00000000 8.50000000 0.00000000 0.00000000 1239.7780000000 2047.3480000000 151.5886000000 18 2024-01-10 20:26:06
9.00274000 0.00000000 0.00000000 9.00000000 0.00000000 0.00000000 1181.0720000000 1932.0620000000 148.2218000000 19 2024-01-10 20:27:21
9.49626000 0.00000000 0.00000000 9.50000000 0.00000000 0.00000000 1129.7800000000 1833.0440000000 145.2244000000 20 2024-01-10 20:28:36
10.00102000 0.00000000 0.00000000 10.00000000 0.00000000 0.00000000 1082.9920000000 1743.1220000000 142.4158000000 21 2024-01-10 20:29:43
10.50090000 0.00000000 0.00000000 10.50000000 0.00000000 0.00000000 1040.8900000000 1662.7260000000 139.8254000000 22 2024-01-10 20:30:57
11.00510000 0.00000000 0.00000000 11.00000000 0.00000000 0.00000000 1002.7460000000 1590.3600000000 137.4288000000 23 2024-01-10 20:32:20
11.49972000 0.00000000 0.00000000 11.50000000 0.00000000 0.00000000 968.1680000000 1525.1860000000 135.2106000000 24 2024-01-10 20:33:30
11.99528000 0.00000000 0.00000000 12.00000000 0.00000000 0.00000000 936.7980000000 1466.5280000000 133.1628000000 25 2024-01-10 20:34:35
12.49578000 0.00000000 0.00000000 12.50000000 0.00000000 0.00000000 907.1720000000 1411.6520000000 131.1990000000 26 2024-01-10 20:35:40
13.00154000 0.00000000 0.00000000 13.00000000 0.00000000 0.00000000 879.8560000000 1360.7100000000 129.3312000000 27 2024-01-10 20:37:03
13.50002000 0.00000000 0.00000000 13.50000000 0.00000000 0.00000000 854.5660000000 1314.3360000000 127.5978000000 28 2024-01-10 20:38:17
13.99996000 0.00000000 0.00000000 14.00000000 0.00000000 0.00000000 831.1660000000 1271.4140000000 125.9540000000 29 2024-01-10 20:39:23
14.49606000 0.00000000 0.00000000 14.50000000 0.00000000 0.00000000 809.2820000000 1231.4200000000 124.3904000000 30 2024-01-10 20:40:31
14.99554000 0.00000000 0.00000000 15.00000000 0.00000000 0.00000000 788.7940000000 1194.7200000000 122.9254000000 31 2024-01-10 20:41:33
15.50112000 0.00000000 0.00000000 15.50000000 0.00000000 0.00000000 769.1900000000 1159.2640000000 121.4838000000 32 2024-01-10 20:42:56
16.00918000 0.00000000 0.00000000 16.00000000 0.00000000 0.00000000 750.6740000000 1126.0760000000 120.1040000000 33 2024-01-10 20:43:56
16.51112000 0.00000000 0.00000000 16.50000000 0.00000000 0.00000000 733.4200000000 1095.5740000000 118.8132000000 34 2024-01-10 20:44:56
